model,hour_local,mae
naive,0,62.095455801104976
naive,1,60.056049723756885
naive,2,64.41254166666667
naive,3,61.06907458563535
naive,4,63.56892265193371
naive,5,65.46073204419889
naive,6,97.70156077348065
naive,7,148.0460082872928
naive,8,172.25143646408836
naive,9,170.17691988950276
naive,10,155.08944751381216
naive,11,160.6479834254144
naive,12,179.97838397790056
naive,13,204.0863674033149
naive,14,194.46618784530386
naive,15,175.08752762430942
naive,16,165.9956077348066
naive,17,147.6585773480663
naive,18,133.42843922651934
naive,19,162.987182320442
naive,20,192.0385082872928
naive,21,121.80973756906077
naive,22,70.75950276243094
naive,23,57.30201657458564
seasonal_naive,0,80.18843922651935
seasonal_naive,1,77.18751381215469
seasonal_naive,2,80.11999999999999
seasonal_naive,3,78.94279005524862
seasonal_naive,4,84.18254143646409
seasonal_naive,5,89.39758287292817
seasonal_naive,6,115.23545580110498
seasonal_naive,7,156.35584254143646
seasonal_naive,8,184.45527624309392
seasonal_naive,9,207.86120165745857
seasonal_naive,10,198.1454143646409
seasonal_naive,11,223.38459944751384
seasonal_naive,12,248.83631215469612
seasonal_naive,13,274.3775
seasonal_naive,14,257.24632596685086
seasonal_naive,15,224.16591160220995
seasonal_naive,16,198.318591160221
seasonal_naive,17,178.88
seasonal_naive,18,155.04609116022098
seasonal_naive,19,174.68762430939225
seasonal_naive,20,191.9270856353591
seasonal_naive,21,141.6142817679558
seasonal_naive,22,94.949226519337
seasonal_naive,23,78.74002762430938
lgbm,0,58.365544959762246
lgbm,1,57.329877420944804
lgbm,2,59.31188602611419
lgbm,3,56.1077264302613
lgbm,4,60.751157593073174
lgbm,5,64.47204730383072
lgbm,6,72.6512446406342
lgbm,7,91.66736728151265
lgbm,8,110.70087351522555
lgbm,9,106.69610797140986
lgbm,10,107.63940455919888
lgbm,11,112.354512761925
lgbm,12,127.73947131080921
lgbm,13,136.8471835093311
lgbm,14,130.6802918515036
lgbm,15,111.9326685038013
lgbm,16,100.38690115363259
lgbm,17,98.69139350869425
lgbm,18,95.93361367679759
lgbm,19,114.54384540292885
lgbm,20,131.10317786957162
lgbm,21,95.58038546030481
lgbm,22,69.49799582362732
lgbm,23,58.52784569111839
